

########## SHEET: K-CURE 암공공(병기조사_간암)_데이터셋(목록)정보 ##########
K-CURE 암 공공 병기조사_간암 DB 데이터 카탈로그 레이아웃
제공기관 : 국가암데이터센터
연번 | 데이터셋 한글명(테이블 한글명) | 데이터셋명(테이블명) | 변수(항목)개수
1 | 암_공공_병기조사_간암_DB_암등록 | CS_LV_RGST | 11
2 | 암_공공_병기조사_간암_DB_사망 | CS_LV_DEATH | 3
3 | 암_공공_병기조사_간암_DB_자격및보험료 | CS_LV_BFC | 6
4 | 암_공공_병기조사_간암_DB_명세서일반내역 | CS_LV_T200 | 22
5 | 암_공공_병기조사_간암_DB_진료내역 | CS_LV_T300 | 13
6 | 암_공공_병기조사_간암_DB_상병내역 | CS_LV_T400 | 6
7 | 암_공공_병기조사_간암_DB_원외처방내역 | CS_LV_T530 | 10
8 | 암_공공_병기조사_간암_DB_일반건강검진_대상자 | CS_LV_G1E_OBJ | 2
9 | 암_공공_병기조사_간암_DB_일반건강검진_문진_0708 | CS_LV_G1Q_0708 | 24
10 | 암_공공_병기조사_간암_DB_일반건강검진_문진_0917 | CS_LV_G1Q_0917 | 31
11 | 암_공공_병기조사_간암_DB_일반건강검진_문진_1823 | CS_LV_G1Q_1823 | 88
12 | 암_공공_병기조사_간암_DB_일반건강검진_결과및판정 | CS_LV_G1E | 21
13 | 암_공공_병기조사_간암_DB_암문진_간암_0708 | CS_LV_CLV_CQ_RST_0708 | 67
14 | 암_공공_병기조사_간암_DB_암문진_간암_0923 | CS_LV_CLV_CQ_RST_0923 | 82
15 | 암_공공_병기조사_간암_DB_암검진_간암_0708 | CS_LV_CLV_RST_0708 | 53
16 | 암_공공_병기조사_간암_DB_암검진_간암_0923 | CS_LV_CLV_RST_0923 | 60


########## SHEET: K-CURE 암공공(병기조사_간암)_데이터셋(항목)정보 ##########
K-CURE 암 공공 병기조사_간암 DB 데이터 카탈로그 레이아웃
제공기관 : 국가암데이터센터
※ 카탈로그에 기재된 설명 외의 자세한 코드값은 보건의료빅데이터개방시스템(https://opendata.hira.or.kr) 참고
연번 | 데이터셋명(테이블 한글명) | 데이터셋명(테이블명) | SUB NO | 변수 (컬럼한글명) | 변수명 (컬럼명) | 설명 | 값 | 형식 (Data Type)
1 | 암_공공_병기조사_간암_DB_암등록 | CS_LV_RGST | 1 | 자료등록연도 | DBYEAR | 자료등록연도 | YYYY | VARCHAR(4)
1 | 암_공공_병기조사_간암_DB_암등록 | CS_LV_RGST | 2 | 성별 | SEX | 성별 | 1: 남자, 2: 여자 | VARCHAR(1)
1 | 암_공공_병기조사_간암_DB_암등록 | CS_LV_RGST | 3 | 최초진단연월 | FDX | 최초진단연월 | YYYYMM | VARCHAR(6)
1 | 암_공공_병기조사_간암_DB_암등록 | CS_LV_RGST | 4 | 원발부위코드 | TCODE | 종양학국제질병분류(ICD-O-3)-원발부위코드 | ICD-O-3(종양학국제질병분류), Cxxx | VARCHAR(4)
1 | 암_공공_병기조사_간암_DB_암등록 | CS_LV_RGST | 5 | 조직학적진단코드 | MCODE | 종양학국제질병분류(ICD-O-3)-조직학적진단코드 | MCODE(조직학적진단코드), 8****, 9**** | VARCHAR(5)
1 | 암_공공_병기조사_간암_DB_암등록 | CS_LV_RGST | 6 | 진단시 만나이 | AGE | 최초진단연일 기준 만나이 ※기본 5세 단위로 제공 | _세 | VARCHAR(2)
1 | 암_공공_병기조사_간암_DB_암등록 | CS_LV_RGST | 7 | 신장 | HEIGHT | 신장 | _cm | DECIMAL(22,4)
1 | 암_공공_병기조사_간암_DB_암등록 | CS_LV_RGST | 8 | 체중 | WEIGHT | 체중 | _kg | DECIMAL(22,4)
1 | 암_공공_병기조사_간암_DB_암등록 | CS_LV_RGST | 9 | AFP | AFP | AFP (ng/mL) | x.x *첫 치료전 간암진단일과 가장 근접한 날짜의 수치 | DECIMAL(22,4)
1 | 암_공공_병기조사_간암_DB_암등록 | CS_LV_RGST | 10 | 임상적 TNM | I_TNM | 임상적 TNM | T1N0M0, T2N0M1 등  (예시) T2N0M0 → cT2N0M0 | VARCHAR(20)
1 | 암_공공_병기조사_간암_DB_암등록 | CS_LV_RGST | 11 | 임상적 stage | I_TNM_STAGE | 임상적 stage | Stage I, II, III, IV-A, IV-B, TNM 불가 (예시) Stage II → cStage II | VARCHAR(20)
2 | 암_공공_병기조사_간암_DB_사망 | CS_LV_DEATH | 1 | 사망연월일 | DREGDATE | 2012~2022년까지의 사망자료 | YYYYMMDD | VARCHAR(8)
